,rouge1,rouge2,rouge3,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1,llm_comment,article,reference,prediction
0,0.7722772277227723,0.59,0.4848484848484849,0.5841584158415841,0.5841584158415841,0.8192447423934937,0.8214219212532043,0.820331871509552,"['lesser detail', 'wrong events']",,,
1,0.7474048442906575,0.3902439024390244,0.22456140350877193,0.4290657439446367,0.4290657439446367,0.7542034387588501,0.7626796960830688,0.7584178447723389,['wrong events'],,,
2,0.8,0.6080586080586081,0.5166051660516605,0.6690909090909092,0.6690909090909092,0.8474864363670349,0.8413437008857727,0.844403862953186,"['missing core', 'hallucinated facts']",,,
3,0.9256198347107438,0.8833333333333333,0.8487394957983193,0.9256198347107438,0.9256198347107438,0.9112842082977295,0.9239252805709839,0.9175612330436707,hallucinated facts,,,
4,0.8536585365853658,0.7300613496932515,0.6790123456790124,0.7987804878048781,0.7987804878048781,0.8856066465377808,0.8873822689056396,0.8864935636520386,"['hallucinated facts', 'wrong events']",,,
5,0.8166666666666667,0.5294117647058824,0.44067796610169485,0.6083333333333333,0.6083333333333333,0.8166667222976685,0.8511101007461548,0.8335327506065369,"hallucinated facts, missing core",,,
6,0.6472727272727273,0.25641025641025644,0.14760147601476015,0.34181818181818185,0.34181818181818185,0.7369481325149536,0.7337084412574768,0.7353247404098511,"hallucinated facts, lesser detail",,,
7,0.748898678414097,0.4533333333333333,0.34080717488789236,0.5022026431718062,0.5022026431718062,0.7828941345214844,0.8206265568733215,0.8013164401054382,"['hallucinated facts', 'wrong events']","Những ngày cuối tháng 4 đầu tháng 5, hàng chục nghìn du khách tìm về Điện Biên Phủ, nơi in dấu son lịch sử về chiến thắng 'Lừng lẫy năm châu, chấn động địa cầu'. Đồi A1 ở phường Mường Thanh, TP Điện Biên Phủ, từng là cứ điểm quan trọng bậc nhất trong tập đoàn cứ điểm của thực dân Pháp ở Điện Biên Phủ, luôn đông đúc từ sáng tới chiều muộn. Bên cạnh những hầm hào, rào thép gai, xe tăng thì đồi A1 nổi bật hơn với hai cây phượng nở rộ trên đỉnh, bên cạnh hố bộc phá 960 kg. Những ngày cuối tháng 4 đầu tháng 5, hàng chục nghìn du khách tìm về Điện Biên Phủ, nơi in dấu son lịch sử về chiến thắng 'Lừng lẫy năm châu, chấn động địa cầu'. Đồi A1 ở phường Mường Thanh, TP Điện Biên Phủ, từng là cứ điểm quan trọng bậc nhất trong tập đoàn cứ điểm của thực dân Pháp ở Điện Biên Phủ, luôn đông đúc từ sáng tới chiều muộn. Bên cạnh những hầm hào, rào thép gai, xe tăng thì đồi A1 nổi bật hơn với hai cây phượng nở rộ trên đỉnh, bên cạnh hố bộc phá 960 kg. Hai cây phượng nằm cách nhau 60 m ra hoa vào đúng dịp kỷ niệm 70 năm Chiến thắng Điện Biên Phủ. Từ đầu năm 2024 đến nay, tỉnh Điện Biên đón 845.000 lượt du khách, tăng gần hai lần so với cùng kỳ năm 2023. Hai cây phượng nằm cách nhau 60 m ra hoa vào đúng dịp kỷ niệm 70 năm Chiến thắng Điện Biên Phủ. Từ đầu năm 2024 đến nay, tỉnh Điện Biên đón 845.000 lượt du khách, tăng gần hai lần so với cùng kỳ năm 2023. Dưới cây phượng, hàng trăm du khách thích thú chụp ảnh, bên cạnh là chiếc xe tăng M24 (còn có tên gọi Bazeille) của quân Pháp bị bắn cháy. Đồi A1 nằm dài theo hướng Tây Bắc - Đông Nam, gồm hai đỉnh Tây Bắc cao hơn 490 m, Đông Nam cao hơn 493 m Dưới cây phượng, hàng trăm du khách thích thú chụp ảnh, bên cạnh là chiếc xe tăng M24 (còn có tên gọi Bazeille) của quân Pháp bị bắn cháy. Đồi A1 nằm dài theo hướng Tây Bắc - Đông Nam, gồm hai đỉnh Tây Bắc cao hơn 490 m, Đông Nam cao hơn 493 m Nhóm bạn trẻ trong trang phục chiến sỹ Điện Biên chụp ảnh bên đường hào dưới gốc cây hoa phượng. Nhóm bạn trẻ trong trang phục chiến sỹ Điện Biên chụp ảnh bên đường hào dưới gốc cây hoa phượng. Thiếu nữ H'Mông Vàng Thị Nhìa trong trang phục áo dài trắng chụp ảnh vào khoảnh khắc được cho là đẹp nhất trong ngày trên đồi A1 khi mặt trời lặn. Thiếu nữ H'Mông Vàng Thị Nhìa trong trang phục áo dài trắng chụp ảnh vào khoảnh khắc được cho là đẹp nhất trong ngày trên đồi A1 khi mặt trời lặn. Du khách tham quan cửa hầm chỉ huy, được xây dựng kiên cố trên điểm cao nhất của đồi A1. Du khách tham quan cửa hầm chỉ huy, được xây dựng kiên cố trên điểm cao nhất của đồi A1. Các ngả đường dẫn lên đồi luôn đông du khách. Đồi A1 thuộc dãy đồi phía Đông, cao 32 m so với mặt đường và có diện tích 83.000 m2, cách Sở chỉ huy tập đoàn cứ điểm Điện Biên Phủ của thực dân Pháp khoảng 500 m về phía Tây theo đường chim bay. Các ngả đường dẫn lên đồi luôn đông du khách. Đồi A1 thuộc dãy đồi phía Đông, cao 32 m so với mặt đường và có diện tích 83.000 m2, cách Sở chỉ huy tập đoàn cứ điểm Điện Biên Phủ của thực dân Pháp khoảng 500 m về phía Tây theo đường chim bay. Hoa phượng nở đỏ rực trên đồi A1 Hoa phượng nở đỏ rực trên đồi A1 những ngày tháng 5. Video: Anh Phú - Lộc Chung","Hàng chục nghìn du khách tìm về Điện Biên Phủ, nơi có dấu son lịch sử về chiến thắng 'Lừng lẫy năm châu, chấn động địa cầu'. Đồi A1, nơi có hai cây phượng nở rộ, từng là cứ điểm quan trọng bậc nhất trong tập đoàn cứ điểm của thực dân Pháp. Từ đầu năm 2024 đến nay, tỉnh Điện Biên đón 845.000 lượt du khách, tăng gần hai lần so với cùng kỳ năm 2023.","<pad> Hàng chục nghìn du khách tìm về Điện Biên Phủ, nơi in dấu son lịch sử về chiến thắng 'Lừng lẫy năm châu, chấn động địa cầu'. Đồi A1 ở phường Mường Thanh là cứ điểm quan trọng bậc nhất trong tập đoàn cứ điểm của thực dân Pháp. Từ đầu năm 2024 đến nay, tỉnh Điện Biên đón 845 và00 lượt du khách, tăng gần hai lần so với cùng kỳ năm 2023.</s>"
8,0.6820809248554914,0.5755813953488372,0.543859649122807,0.6127167630057803,0.6127167630057803,0.8850724697113037,0.828152060508728,0.8556666970252991,['wrong events'],,,
9,0.7222222222222222,0.6503496503496503,0.6267605633802817,0.6527777777777778,0.6527777777777778,0.8589354157447815,0.8237875699996948,0.8409944176673889,['lesser detail'],,,
